abstract 简报,title 标题,keywords 关键词,read_count 阅读量,share_count 分享数量,ban_comment 可评论,publish_time 推送时间,share_url url 链接,user_info_name 用户名,user_id 用户 id,description 用户描述,user_verified 官方账号,time 抓取时间,category 频道
比亚迪签约荷兰纯电动大巴项目国际商报报道，近日，中国新能源汽车企业比亚迪与欧洲公共交通运营商凯奥雷斯荷兰分公司正式签署合作协议，宣布中标荷兰259台纯电动大巴订单生成。,比亚迪签约荷兰纯电动大巴项目 | 20191212要闻,,27,0,0,2019-12-13 04:00:56,http://m.toutiao.com/group/6769645231760474632/?app=news_article&article_category=automobile&is_hit_share_recommend=0,南方能源观察,51865766278,中国领先的能源战略媒体,False,2019-12-13 14:41:36,news_tech
“家庭教育是学校教育与社会教育的基础，家长是孩子最好的老师。”12月12日，腾讯家长学校启动仪式在腾讯总部大楼多功能厅举行，作为腾讯家长学校名誉校长，腾讯高级执行副总裁、云与智慧产业事业群总裁汤道生如此阐释家庭教育的重要性。启动仪式上，腾讯教育与中国家庭教育学会签署战略合作协议。,腾讯家长学校正式启动 科技助力亲子共同成长,,15,0,0,2019-12-13 12:36:53,http://m.toutiao.com/group/6769778191427961351/?app=news_article&is_hit_share_recommend=0,中国网,3350881978,中国网，呈现一个真实的中国,True,2019-12-13 14:41:36,news_tech
"老人助步器和拐杖都使不了,装修设计师遭遇挑战,悬浮拐杖靠谱吗?",老人行动不便视力差，设计师决定开发悬浮拐杖，解决行走问题,,8,0,0,2019-12-13 13:22:26,https://m.toutiaoimg.com/a6769789925601575436/?app=news_article&is_hit_share_recommend=0,北京卫视季播带,103440179143,本头条号聚集北京卫视最精彩内容，供大家分享与交流。,True,2019-12-13 14:41:36,news_tech
近日，爱驰汽车与汽车电商平台苏宁汽车、车享达成战略合作伙伴关系，整合各方优势资源，在品牌传播与营销、流量运营、客群转化、汽车金融等领域进行合作，推动线上线下一体化进程。此外，爱驰汽车在“双十二”期间强势入驻苏宁汽车与车享两大平台，再度发力新零售领域。,牵手苏宁汽车、车享，爱驰汽车新零售赛道再发力,,30,0,0,2019-12-13 09:45:46,http://m.toutiao.com/group/6769734092473762317/?app=news_article&article_category=automobile&is_hit_share_recommend=0,新华网客户端,4377795668,引领品质阅读，让新闻离你更近！,True,2019-12-13 14:41:36,news_tech
据科技媒体“The Verge”12月12日报道，三星电子总裁孙英权（Young Sohn）周四在柏林举行的一场活动中透露，Galaxy Fold的销量已经达到100万部。Galaxy Fold已于11月8日在中国区正式发售，售价15999元但不支持5G网络。,华为三星折叠屏手机销售火爆，机构：柔性屏企业长期受益,,54,1,0,2019-12-13 11:59:27,http://m.toutiao.com/group/6769768544960774664/?app=news_article&is_hit_share_recommend=0,第一财经,5431132532,第一财经 专业创造价值,True,2019-12-13 14:41:36,news_tech
据金融监管部门和中国互联网金融协会监测发现，近期一些不法分子打着区块链旗号大肆炒作“虚拟货币”，ICO与“虚拟货币”交易活动在境内有死灰复燃迹象。,互金协会提示会员不得参与任何涉及ICO和“虚拟货币”交易活动炒作,,704,4,0,2019-12-13 13:06:47,http://m.toutiao.com/group/6769785894443418119/?app=news_article&is_hit_share_recommend=0,金融界,3815887397,一站式互联网投资理财平台。,True,2019-12-13 14:41:36,news_tech
据外媒报道，美国当地时间周四，经纪公司瑞士信贷（Credit Suisse）表示，苹果公司11月份在中国的iPhone出货量同比下降35％，这是苹果手机出货量在中国市场连续第二次出现两位数下滑，原因是价格较低的iPhone 11销量仍然低迷。,双11也挽救不了的滑铁卢！iPhone上月在华出货量下降35%,,96,0,0,2019-12-13 10:03:51,http://m.toutiao.com/group/6769738754526544398/?app=news_article&is_hit_share_recommend=0,金融界,3815887397,一站式互联网投资理财平台。,True,2019-12-13 14:41:36,news_tech
上个月，微软HoloLens 2正式发售。作为HoloLens AR头显系列的第二代产品，这款产品不仅价格比第一代更高，其性能、外形设计、功能、界面等也得到了大幅提升。,人体工学典范，微软HoloLens 2设计细节大曝光,,604,2,0,2019-12-12 19:39:05,http://m.toutiao.com/a6769515903026463236/?app=news_article&is_hit_share_recommend=0,青亭网,6087863557,青亭网--链接科技前沿，服务商业创新,True,2019-12-13 14:41:36,news_tech
iPhone X内存不足卡机，iTunes刷机奇葩报错35，主板免分层完美修复，从此彻底告别卡顿,手机内存不足导致iPhone X卡死，刷机奇葩报错35，你遇到过吗？,,121,0,0,2019-12-13 11:10:03,https://m.toutiaoimg.com/a6769755383956242947/?app=news_article&is_hit_share_recommend=0,迅维手机快修,6094381744,手机芯片级维修专业服务商,True,2019-12-13 14:41:36,news_tech
12月13日消息，有利网与京东物流达成战略合作，双方将依托各自在金融、物流、供应链管理上的优势，共同服务物流全产业链。此次战略合作也是双方多层次合作的第一步，未来有望在资本、生态拓展等方面携手共进。,有利网与京东物流达成战略合作 共同拓展物流全产业链,,7,0,0,2019-12-13 13:24:04,http://m.toutiao.com/group/6769790348794266126/?app=news_article&is_hit_share_recommend=0,同花顺财经,3475422963,股票金融信息资讯专家 微信号：ths518,True,2019-12-13 14:41:36,news_tech
经过一整天的买买买，今天上午，小米公布双12战绩。多款产品销量创下新高，除了小米自家商城之外，在京东、天猫、苏宁三大电商平台收获满满。其中，小米商城65英寸及以上大屏电视销量突破1.5万台，米家扫拖一体机器人，销售额突破1千万元。小米巨能写中性笔销量突破2万支。,小米公布双12战绩：天猫/京东/苏宁拿下一大波冠军,,126,0,0,2019-12-13 12:03:16,http://m.toutiao.com/group/6769769526004285966/?app=news_article&is_hit_share_recommend=0,同花顺财经,3475422963,股票金融信息资讯专家 微信号：ths518,True,2019-12-13 14:41:39,news_tech
全球第一个外教机器人诞生，它可辅导孩子写作业等作用，无比好用,全球第一个外教机器人诞生，它可辅导孩子写作业等作用，无比好用,,5,0,0,2019-12-13 11:11:25,https://m.toutiaoimg.com/a6769451480547066376/?app=news_article&is_hit_share_recommend=0,浙商面对面,3399335950691389,浙江电视台经济生活频道《风云浙商面对面》栏目,True,2019-12-13 14:41:39,news_tech
当地时间11日，德国三大电信运营商之一Telefonica宣布了一项重大投资计划，Telefonica表示将在未来几年内扩大网络建设。据了解，目前该运营商使用的设备来自诺基亚和华为，并计划在建设5G网络时继续借助诺基亚和华为的技术。,德国电信运营商宣布将采用华为设备建设5G网络,,18,0,0,2019-12-13 10:53:51,http://m.toutiao.com/group/6769751637708767755/?app=news_article&is_hit_share_recommend=0,新华网客户端,4377795668,引领品质阅读，让新闻离你更近！,True,2019-12-13 14:41:39,news_tech
近日，北京市海淀区市场监督管理局对百度运营主体“北京百度网讯科技有限公司”做出行政处罚。因未核对广告内容，发布了内容不符的广告，百度被处以罚款30000元。处罚决定书显示，“北京百度网讯科技有限公司”主要经营互联网搜索业务，官网为www.baidu.com。,因发布内容不符广告，搜索引擎被罚款30000元,,179,1,0,2019-12-13 09:54:35,http://m.toutiao.com/group/6769736367464251917/?app=news_article&is_hit_share_recommend=0,红星新闻,4085395345,成都传媒集团旗下的新媒体平台,True,2019-12-13 14:41:39,news_tech
[PConline资讯]一觉醒来，孙哥微博怎么没了？我还等着他送钱呢！据报道，波场创始人孙宇晨和币安联合创始人何一的微博账号疑似被关闭，相关页面显示该账号因被投诉违反法律法规和《微博社区公约》的相关规定，现已无法查看。,孙宇晨微博被封，这次是内部炒作还是商业互捧？,,8,0,0,2019-12-13 10:40:45,http://m.toutiao.com/group/6769748265060532743/?app=news_article&is_hit_share_recommend=0,太平洋电脑网,3389144301,"太平洋电脑网于1999年正式推出,致力为国内IT企业与终端用户提供全面、权威、专业的IT资讯服务。",True,2019-12-13 14:41:39,news_tech
来源：北京商报自出现以来便频受争议的移动电影院，近段时间正在VR上频频布局。记者发现，移动电影院与华为合作的VR眼镜现已开启预售，并计划在12月19日首销，而此前移动电影院还与大朋、小宅、创维、Pico、HTC Vive等多个硬件厂商展开合作，同时还将业务延伸至海外。,频频牵手硬件厂商 移动电影院的VR图谋,,21,0,0,2019-12-13 09:14:42,http://m.toutiao.com/group/6769726087611023886/?app=news_article&is_hit_share_recommend=0,中国经济网,50502346296,中国经济网，传递有价值的信息,True,2019-12-13 14:41:39,news_tech
瞄准高质量发展，广东制造业不断刷新着纪录。28.5秒——东莞华为南方工厂，华为P30手机“出生地”。从一块电路板“变身”一台手机，要经历什么？主板就要装配1300多颗元器件，还有各种测试，包括“11.5小时的老化测试”的严苛考验。虽然工序复杂，但一条生产线每28.,“广东制造”提升科技含量,,88,2,0,2019-12-13 08:48:25,http://m.toutiao.com/group/6769719315584254477/?app=news_article&is_hit_share_recommend=0,国际在线,3528285997,国际在线于1998年12月26日正式发布，是由中国国际广播电台主办的国家重点新闻网站，通过61种语言对全球进行传播，是全球语言种类最多、传播地域最广、影响人群最大的多语种、多应用、多终端的网站集群。,True,2019-12-13 14:41:39,news_tech
地图导航可能是当代人生活中最必需的工具之一，而各大地图APP也是各有所长，让人难以抉择，这几年为了吸引用户，不少地图APP都选择推出了自己的明星语音导航包。前段时间，淘宝直播达人李佳琦就透露了自己去录语音导航的趣事，并表示抢先版双12就会上线高德地图，不少粉丝表示十分期待。,李佳琦语音导航已经上线，你会考虑用吗？,,61,1,0,2019-12-12 16:34:11,http://m.toutiao.com/a6769468213227946507/?app=news_article&is_hit_share_recommend=0,电脑报,3624229062,中国发行量第一的计算机报，IT原创知识及科技资讯，内容专业！,True,2019-12-13 14:41:39,news_tech
中国网科技12月13日讯 昨日，百度正式对外发布小度在家智能屏X8，让智能音箱再升级。在硬件层面，小度在家智能屏X8更加纤薄、简约。,百度发布新款小度在家智能屏X8 重新定义AI智能音箱,,15,0,0,2019-12-13 10:24:00,http://m.toutiao.com/group/6769743945523003911/?app=news_article&is_hit_share_recommend=0,中国网科技,50085785497,关注科技企业、企业家和产品报道与传播的专业互联网平台。,True,2019-12-13 14:41:39,news_tech
被华为踢出供应链之后，这个代工巨头有多惨？,被华为踢出供应链之后，这个代工巨头有多惨？,,877,32,0,2019-12-12 20:30:00,https://m.toutiaoimg.com/a6769492271386591751/?app=news_article&is_hit_share_recommend=0,众创思维创业社群,58998940299,打造百万人创业社群，为创业者服务。,True,2019-12-13 14:41:39,news_tech
扬眉吐气！我国14nm芯片正式量产，将争夺65%的芯片市场！,扬眉吐气！我国14nm芯片正式量产，将争夺65%的芯片市场！,,2108,6,0,2019-12-12 21:00:00,https://m.toutiaoimg.com/a6769492310599139851/?app=news_article&is_hit_share_recommend=0,众创思维创业社群,58998940299,打造百万人创业社群，为创业者服务。,True,2019-12-13 14:41:39,news_tech
作为小米首款量子点电视，首小米电视5 Pro 55英寸版会给我们带来什么样的体验，我们一起来看看吧,【ZNDS测评】年轻人的第一台量子点电视，小米电视5 Pro开箱评测,,509,0,0,2019-12-12 11:32:08,https://m.toutiaoimg.com/a6769390416950198797/?app=news_article&is_hit_share_recommend=0,ZNDS智能电视网,4104457526,专注推动智能电视发展，畅享未来智能客厅生活！,True,2019-12-13 14:41:39,news_tech
最近，网络作家陈虹焱的写作习惯发生了一个变化：每完成一部分文稿的创作，除了保存作品内容，她还会将文稿信息上传至一条看不见、摸不着的数据链中，为自己的无形产权加一把“锁”。这条“司法区块链”的技术平台，是由杭州互联网法院搭建的。,关注|区块链在这些生活场景中悄然落地了......,,213,0,0,2019-12-13 10:46:56,http://m.toutiao.com/group/6769749855477694984/?app=news_article&is_hit_share_recommend=0,女性之声,5534997883,中华全国妇女联合会官方头条号,True,2019-12-13 14:41:39,news_tech
照片中含有详细信息，网络专家：拍照前可以提前设置一下！,拍照将隐私信息也暴露？网络专家教你如何设置保护隐私,,0,0,0,2019-12-13 11:54:30,https://m.toutiaoimg.com/a6769566573163184651/?app=news_article&is_hit_share_recommend=0,福建新闻频道,6646545986,中国大陆第一家专业新闻频道。,True,2019-12-13 14:41:39,news_tech
2019年12月9日凌晨，正值双十二前夕，社交电商拼购平台淘集集发布公告，称其由于资金未能如期到账，不得不宣布淘集集本轮并购重组失败，接下来公司将寻求破产清算或破产重整。这家曾称拥有1.3亿用户的“翻版拼多多”在挣扎数月之后，终无力回天，到了灯尽油枯的时候。,淘集集灯尽油枯宣布破产，曾拥有破亿用户，现举债16亿,,63,3,0,2019-12-13 12:21:19,http://m.toutiao.com/group/6769774178615689736/?app=news_article&is_hit_share_recommend=0,乐居财经,5580031421,专注于泛地产行业的的政策、金融、市场、企业类新闻。,True,2019-12-13 14:41:39,news_tech
2019 年 12 月 12 日，智能穿戴领域领军企业华米科技（NYSE:HMI）通过官方微博正式宣布，将于 2020 年 1 月 7 日在美国拉斯维加斯举办 CES 2020 Amazfit 全球新品发布会。,突破可穿戴边界！华米科技Amazfit将于CES 2020发布全新品类新品,,42,0,0,2019-12-13 10:38:39,http://m.toutiao.com/group/6769747721961079310/?app=news_article&is_hit_share_recommend=0,深圳湾,5797427381,深圳湾（ShenzhenWare)关注软件、硬件、以及软硬件结合的生态系统,False,2019-12-13 14:41:39,news_tech
肇庆大力实施工业发展“366”工程在全力打造的三大千亿主导产业集群中，新能源汽车产业走在最前。▼▼肇庆，这些产业迅速崛起▲ 高新区4家新能源汽车整车企业肇庆融入粤港澳大湾区发展成效显著，主导产业发展步伐不断加快。,肇庆，粤港澳大湾区崛起的一座产业新城,,568,3,0,2019-12-12 20:53:24,http://m.toutiao.com/a6769535056273736199/?app=news_article&is_hit_share_recommend=0,肇庆西江网,4104617544,这里有最实用的资讯，有肇庆本地最热的话题，最受关注的焦点，快来关注吧。,False,2019-12-13 14:41:39,news_tech
12月9日，阿里云智能在杭州阿里巴巴总部举行“2019水泥智能化创新研讨会”，会议以“大数据、云计算、人工智能”在水泥行业中的应用为主题展开讨论，中国水泥网董事长邵俊应邀参加了本次会议并作重要发言。当前，随着现代信息技术的发展，工业互联网及人工智能技术正在改变水泥行业传统生态。,邵俊：水泥行业智能化应该围绕三个方面进行,,32,0,0,2019-12-12 14:13:44,http://m.toutiao.com/group/6769432063301911047/?app=news_article&is_hit_share_recommend=0,同花顺财经,3475422963,股票金融信息资讯专家 微信号：ths518,True,2019-12-13 14:41:39,news_tech
这里说的神经网络系统可不是大脑的神经网络系统，是计算机模拟大脑神经网络发展的系统，是“人工智能”领域的技术之一，现在看来已经占据较为主导的地位。这些系统能够识人脸、看图片、接收声音指令、识别交通信号……还有更多正在开发的用途。到底什么是神经网络系统呢?这个行业的规模到底有多大?,什么是神经网络系统？,,249,17,0,2019-12-11 20:13:13,http://m.toutiao.com/a6769153615920628231/?app=news_article&is_hit_share_recommend=0,环球解密之未解之谜,51240258369,中国乃至世界未解之谜大全。,True,2019-12-13 14:41:39,news_tech
很多故事都会讲述主人公如何克服贫苦艰难最后成功逆袭，或者主人公一出生就有主角光环，含着金钥匙，有着极其优越的成长环境，但事实上大多数故事的开端都平淡无奇、并无传奇色彩，现任谷歌帝国的掌舵人桑达·皮查伊就是这样。,身价千亿美元创始人双双卸任，新任印度裔CEO如何掌控谷歌帝,,49,0,0,2019-12-12 20:23:32,http://m.toutiao.com/a6769527357561635331/?app=news_article&is_hit_share_recommend=0,人人贷财富,5841957602,九年老平台，专业不负信赖,True,2019-12-13 14:41:39,news_tech
根据集邦咨询半导体研究中心(DRAMeXchange)调查显示，在当前各家厂商库存数量下跌，加上资料中心需求持续强劲，以及2020年第1季5G手机市场对于DRAM需求扩大的情况下，近3个月连续走跌的DRAM价格已经触底反弹。,2020年5G手机及资料中心需求提升 DRAM现货价格触底反弹,,10,0,0,2019-12-13 13:49:26,http://m.toutiao.com/a6769796885679964685/?app=news_article&is_hit_share_recommend=0,全球半导体观察,3181723014,半导体产业最权威的研究机构，专注于半导体、DRAM、NAND Flash、SSD、平板手机等产业。,True,2019-12-13 14:41:42,news_tech
原标题：Waymo收购牛津大学衍生创企为自动驾驶汽车训练加入模仿学习据外媒报道，Waymo一天24小时运行1万辆模拟车，记录了超过100亿英里的计算机模拟里程。不过，现在Waymo在学习环境中增加了一个新工具，以模仿人类行为。,Waymo收购牛津大学衍生创企 为自动驾驶汽车训练加入模仿学习,,1,0,0,2019-12-13 13:44:39,http://m.toutiao.com/group/6769795655515767309/?app=news_article&article_category=automobile&is_hit_share_recommend=0,同花顺财经,3475422963,股票金融信息资讯专家 微信号：ths518,True,2019-12-13 14:41:42,news_tech
自iPhone 11系列发布以来，虽遭到了消费者嘴上的嫌弃，但却迎来了实实在在的热卖。在近一段时间，我们经常性地看到iPhone 拿下各种销量冠军，而也有外媒报道称iPhone 手机在国内的出货量已超过1000万台。,降价也没用，11月iPhone在中国出货量暴跌35%，iPhone 11不香了？,,2017,1,0,2019-12-13 11:25:08,http://m.toutiao.com/a6769759699333022212/?app=news_article&is_hit_share_recommend=0,Tech情报局,63844477009,Tech情报局以严肃认真的态度聊一聊科技界不严肃的事儿。,True,2019-12-13 14:41:42,news_tech
文/东方亦落在近日举行的中国家居业重塑产业链价值体系大会上，董明珠对于美的和小米再次开喷，称双方的合作为“小偷加小偷”。董明珠怼这两家企业不是一次了，从十亿赌约到偷人技术，在董明珠的口中，小米和美的变得一无是处，而此次铁娘子的强悍性格再次爆发，再次“炮轰”小米和美的。,董明珠又指小米和美的是“小偷”，言论过火或源于“恐惧”,,62,0,0,2019-12-13 13:17:04,http://m.toutiao.com/a6769768895080301068/?app=news_article&is_hit_share_recommend=0,最极客,5383868111,国内首家关注前沿科技与极客文化的新媒体，可能是最具极客精神的创业团队，最大的极客社群。,False,2019-12-13 14:41:42,news_tech
12月11日，二三里资讯刊发一篇名为：家里没人无故多出19元的移动宽带资费，连着收了７个月市民才发现，此篇文章引起了很多市民的关注。12月12日下午，李女士称刚刚从移动公司回来，给她的事情解决了，目前处理结果如下：本金全部退还171元直接充值成话费，三倍赔偿金513元现金。,追踪：移动每月无故扣19元资费，用户：本金退还三倍赔偿,,528,0,0,2019-12-13 09:54:19,http://m.toutiao.com/a6769736295825539598/?app=news_article&is_hit_share_recommend=0,二三里资讯宝鸡,6086261599,华商传媒集团旗下二三里资讯宝鸡官方频道,True,2019-12-13 14:41:42,news_tech
2011年1月21日，微信诞生，很快就将迎来它9岁的生日。2014年开始，每年12月或次年的1月，微信公开课PRO版又都会如期而至。很多人会关注微信下一个动作在哪里？现在腾讯官方带来了微信9年的盘点，回顾过去发现微信都走过了哪些路。,腾讯官方盘点微信9年，下一个动作在哪里？,,34,2,0,2019-12-13 13:18:49,http://m.toutiao.com/a6769788998186435075/?app=news_article&is_hit_share_recommend=0,IT之家,3353880530,IT之家：爱科技，爱这里。,True,2019-12-13 14:41:42,news_tech
中国商报/中国商网12月12日下午，第四届世界区块链创新大会暨2019“区块链+”技术发展论坛在北京友谊宾馆举办。中国商业联合会党委副书记周京英在开场致辞中表示，区块链技术应用目前已延伸到金融、物联网、智能制造、供应链管理等多个领域，目前全球主要国家都在加快布局区块链技术发展。,周京英：布局区块链技术发展意义重大,,22,0,0,2019-12-12 14:43:45,http://m.toutiao.com/group/6769439799276208648/?app=news_article&is_hit_share_recommend=0,同花顺财经,3475422963,股票金融信息资讯专家 微信号：ths518,True,2019-12-13 14:41:42,news_tech
我们新买一个手机都会下载许多的APP。现在APP的数量越来越多了，这就让我们很难发现一些良心的APP，话不多说，今天老师傅就给大家分享一波实用APP。,老师傅不小心泄露了5个良心APP，个个都是宝藏，舍不得分享,,94,3,0,2019-12-13 11:26:53,http://m.toutiao.com/a6769760153257378307/?app=news_article&is_hit_share_recommend=0,办公科技园,86200422500,提供最新最实用的办公资源，助你成为职场精英！,False,2019-12-13 14:41:42,news_tech
一瞬间这股热潮就冷了随着共享经济热度的衰退，共享汽车也走到了一个十字路口，对未来的发展也变的回归理智。近期据媒体报道，浙江省嘉兴市秀洲区万民村境内又现共享汽车“坟场”：多辆报废的共享汽车停放在田野旁，密密麻麻地铺开，场面相当“壮观”。“坟场”实际上是待拍卖的下线车。,共享汽车为何热潮褪去？不成熟的市场导致生下“早产儿”,,223,1,0,2019-12-12 17:14:59,http://m.toutiao.com/a6769478771343884813/?app=news_article&article_category=automobile&is_hit_share_recommend=0,财经下午茶,87700806137,每天下午，最丰富、最全面的综合资讯尽在财经下午茶。,False,2019-12-13 14:41:42,news_tech
静静只想说，真是成功与实力并存啊。早安，艾瑞巴蒂（手动问好），一 起来看今天的早报！【黑马高调早报】第1 516期文 | 静静更多创业内容请访问www.iheima.com今日头条1.,孙宇晨微博被关；马蜂窝被曝裁员40%；百度被行政处罚3万元：未对广告内容进行核对...,,4276,11,0,2019-12-13 09:52:42,http://m.toutiao.com/group/6769735879075299853/?app=news_article&is_hit_share_recommend=0,i黑马,3591598478,每年推火100个明星初创公司，让创业者不再孤独！,True,2019-12-13 14:41:42,news_tech
一个匿名团体在线泄漏了数十亿个电子邮件地址和纯文本密码，中国泄露最为严重，使无数互联网用户面临凭证填充和其他攻击的风险。,27亿邮件数据被泄露，中国最为严重，我们怎么保护隐私？,,49,0,0,2019-12-13 10:18:28,http://m.toutiao.com/a6769742519317053965/?app=news_article&is_hit_share_recommend=0,黑马程序员,6596588903,黑马程序员努力打造高质量的IT人才服务平台,True,2019-12-13 14:41:42,news_tech
投中网的小伙伴们早上好，12月12日晚间，波场创始人孙宇晨和币安联合创始人何一的微博账号疑似被关闭，相关页面显示该账号因被投诉违反法律法规和《微博社区公约》的相关规定，现已无法查看。对此，波场官微回应称，TRON一切安好，正在与微博沟通，会尽快沟通解决......,「投中·24H」波场回应孙宇晨微博被关；闲鱼将上线“附近的人”？,,27,0,0,2019-12-13 08:40:20,http://m.toutiao.com/group/6769717231971467787/?app=news_article&is_hit_share_recommend=0,投中网,3723048139,创新经济的智识与洞见。,True,2019-12-13 14:41:42,news_tech
近期关于2020年iPhone的配置价格等信息的爆料越来越多，12月13日，9TechEleven根据现有爆料信息制作了2020年iPhone的渲染图，其中包括iPhone SE2（iPhone 9），iPhone 12系列。,2020年iPhone再次曝光：渲染图+价格2800元起，香,,5,0,0,2019-12-13 12:22:04,http://m.toutiao.com/a6769774370488320515/?app=news_article&is_hit_share_recommend=0,泡泡网,3657894252,关注泡泡网，畅享科技生活。,True,2019-12-13 14:41:42,news_tech
